Title,Company,Location,Summary
Game Developer - AI Trainer,DataAnnotation,"Remote in Arlington, TX","From $40 an hour
Full-time
+1
1 to 40 hours per week
Hourly pay"
C++ Software Engineer,"ON1, inc.",Remote,"Typically responds within 4 days
$135,000 - $160,000 a year
Full-time
8 hour shift
+1
Profit sharing
Yearly bonus"
"Software Engineer, Servicing","Upstart Network, Inc.",Remote,"$113,800 - $189,000 a year"
Software Engineer for AI Training Data (Python),G2i Inc,Remote,"Typically responds within 1 day
$22 - $50 an hour
Contract
Minimum of 15 hours per week
Choose your own hours
Hourly pay"
Associate Software Engineer,Accelerate Learning Inc.,Remote,
"Professional, Software Engineer",MVP Health Care,"Remote in Tarrytown, NY 10591","$70,000 - $95,000 a year
Full-time"
Software Developer I,Ironwood Cyber Inc,Remote,"From $90,000 a year
Full-time
Monday to Friday
+1"
Software Engineer,Eckoh (US),Remote,"From $65,000 a year
Full-time
Monday to Friday"
"Staff Software Engineer, Full Stack",DocuPet,Remote,"$125,000 - $150,000 a year
Full-time
Monday to Friday"
Front-End Developer (Conversion Rate Optimization),V Shred,Remote,"From $140,000 a year
Full-time
Monday to Friday"
Entry Level Java Developer,Hemma Systems Inc.,Remote,
"Software Engineer, Frontend","Anaconda, Inc.",Remote,
Frontend Software Engineer,Harness,Remote,
"Backend Engineer I, Customer Experience",Included Health,Remote,Typically responds within 1 day
"Software Engineer, Backend",Dataminr,Remote,"$110,000 - $160,000 a year
Full-time"
